Sun Apr 19 17:37:15 2026 | [BLOCK] | OTHER :0 -> :0
Sun Apr 19 17:37:15 2026 | [ALLOW] | UDP 192.168.1.92:35173 -> 192.168.1.1:53
Sun Apr 19 17:37:15 2026 | [ALLOW] | UDP 192.168.1.92:43037 -> 192.168.1.1:53
Sun Apr 19 17:37:15 2026 | [ALLOW] | UDP 192.168.1.1:53 -> 192.168.1.92:43037
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:15 2026 | [ALLOW] | UDP 192.168.1.1:53 -> 192.168.1.92:35173
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:15 2026 | [ALLOW] | UDP 192.168.1.92:59026 -> 192.168.1.1:53
Sun Apr 19 17:37:15 2026 | [ALLOW] | UDP 192.168.1.92:59026 -> 192.168.1.1:53
Sun Apr 19 17:37:15 2026 | [ALLOW] | UDP 192.168.1.1:53 -> 192.168.1.92:59026
Sun Apr 19 17:37:15 2026 | [ALLOW] | UDP 192.168.1.1:53 -> 192.168.1.92:59026
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:45358 -> 140.82.114.22:443
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:15 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:16 2026 | [ALLOW] | TCP 13.107.5.93:443 -> 192.168.1.92:40164
Sun Apr 19 17:37:16 2026 | [ALLOW] | TCP 192.168.1.92:40164 -> 13.107.5.93:443
Sun Apr 19 17:37:16 2026 | [ALLOW] | TCP 140.82.114.22:443 -> 192.168.1.92:45358
Sun Apr 19 17:37:16 2026 | [ALLOW] | TCP 192.168.1.92:45358 -> 140.82.114.22:443
